_id,Czas_Rejestracji,Liczba_Wolnych_Miejsc,Liczba_Poj_Wjezdzajacych,Liczba_Poj_Wyjezdzajacych,Nazwa
1,2025-01-14 01:50:31.757000,42,0,0,PR07 - ul. Kosmonautów-Fieldorfa (Szpital)
2,2025-01-14 02:23:17.753000,35,0,0,PR03B - Grabiszyn północ
3,2025-01-14 05:19:49.887000,45,0,1,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
4,2025-01-14 04:54:22.130000,79,0,0,PR04 - ul. Snycerska-Majchra (Leśnica)
5,2025-01-14 05:16:52.213000,11,1,0,PR11 - ul. Ślężna-Kamienna
6,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
7,2025-01-14 05:04:17.720000,84,0,0,PR06 - ul. Kosmonautów-Boguszowska
8,2025-01-14 04:50:25.170000,159,0,0,PR08 - ul. Opolska-Głubczycka
9,2025-01-14 06:10:57.870000,34,0,1,PR07 - ul. Kosmonautów-Fieldorfa (Szpital)
10,2025-01-14 02:23:17.753000,35,0,0,PR03B - Grabiszyn północ
11,2025-01-14 06:14:25.623000,97,4,2,PR01B - Psie Pole - Stacja PKP parking nr 3
12,2025-01-14 06:04:45.967000,55,0,0,PR03A - Grabiszyn południe
13,2025-01-14 06:13:39.790000,43,1,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
14,2025-01-14 06:04:23.777000,77,0,0,PR04 - ul. Snycerska-Majchra (Leśnica)
15,2025-01-14 05:52:54.303000,1,0,0,PR11 - ul. Ślężna-Kamienna
16,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
17,2025-01-14 06:07:40.100000,72,0,0,PR06 - ul. Kosmonautów-Boguszowska
18,2025-01-14 06:10:20.090000,157,1,0,PR08 - ul. Opolska-Głubczycka
19,2025-01-14 06:10:28.890000,-291,1,0,PR15 - ul. Kamiennogórska
20,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
21,2025-01-14 07:14:57.230000,47,2,0,PR06 - ul. Kosmonautów-Boguszowska
22,2025-01-14 07:13:40.473000,147,2,0,PR08 - ul. Opolska-Głubczycka
23,2025-01-14 06:41:55.313000,38,0,0,PR05 - ul. Bardzka-Świeradowska
24,2025-01-14 07:10:54.423000,-293,0,1,PR15 - ul. Kamiennogórska
25,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
26,2025-01-14 01:50:31.757000,42,0,0,PR07 - ul. Kosmonautów-Fieldorfa (Szpital)
54,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
27,2025-01-14 01:19:34.377000,45,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
28,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
29,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
30,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
31,2025-01-14 00:18:33.920000,46,0,1,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
32,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
33,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
34,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
35,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
36,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
37,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
38,2025-01-14 01:19:34.377000,45,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
39,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
40,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
41,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
42,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
43,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
44,2025-01-14 02:23:17.753000,35,0,0,PR03B - Grabiszyn północ
